date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:09:43	3774/3774	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Oct%202021%2015:39:43%20GMT	https://leetcode-questions.herokuapp.com/robots.txt		(from )
21:09:44	22329/22329	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:39:43%20GMT	https://leetcode-questions.herokuapp.com/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/index.html	(from )
21:09:44	475/475	---MC-	200	added ('OK')	text/css	date:Sat,%2030%20Oct%202021%2015:39:44%20GMT	https://fonts.googleapis.com/icon?family=Material+Icons	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/fonts.googleapis.com/icone91f.css	(from https://leetcode-questions.herokuapp.com/)
21:09:45	141841/141841	---M-Z	200	added ('OK')	text/css	etag:%2260ddc842-22a11%22	https://leetcode-questions.herokuapp.com/static/css/materialize.min.ec1df3ba4997.css	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/static/css/materialize.min.ec1df3ba4997.css	(from https://leetcode-questions.herokuapp.com/)
21:09:45	181109/181109	---M-Z	200	added ('OK')	text/javascript	etag:%2260ddc842-2c375%22	https://leetcode-questions.herokuapp.com/static/js/materialize.min.87d84bf8b4cc.js	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/static/js/materialize.min.87d84bf8b4cc.js	(from https://leetcode-questions.herokuapp.com/)
21:09:46	127624/127624	---MC-	200	added ('OK')	application/javascript	date:Sat,%2030%20Oct%202021%2015:39:45%20GMT	https://www.googletagmanager.com/gtag/js?id=G-K8FVHG01EH	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/www.googletagmanager.com/gtag/js4012	(from https://leetcode-questions.herokuapp.com/)
21:09:53	51/51	---MCZ	200	added ('OK')	text/plain	date:Sat,%2030%20Oct%202021%2015:39:46%20GMT	https://fonts.googleapis.com/robots.txt		(from https://leetcode-questions.herokuapp.com/)
21:09:55	22669/22669	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:39:55%20GMT	https://leetcode-questions.herokuapp.com/1/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/1/index.html	(from https://leetcode-questions.herokuapp.com/)
21:09:57	73202/73202	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:39:56%20GMT	https://leetcode-questions.herokuapp.com/2/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/2/index.html	(from https://leetcode-questions.herokuapp.com/)
21:09:58	23007/23007	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:39:57%20GMT	https://leetcode-questions.herokuapp.com/3/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/3/index.html	(from https://leetcode-questions.herokuapp.com/)
21:09:58	22637/22637	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:39:58%20GMT	https://leetcode-questions.herokuapp.com/4/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/4/index.html	(from https://leetcode-questions.herokuapp.com/)
21:09:59	147735/147735	---MC-	200	added ('OK')	text/javascript	date:Sat,%2030%20Oct%202021%2015:39:46%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://leetcode-questions.herokuapp.com/)
21:09:59	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Oct%202021%2015:39:59%20GMT	https://www.googletagmanager.com/robots.txt		(from https://leetcode-questions.herokuapp.com/)
21:10:01	24973/24973	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:40:00%20GMT	https://leetcode-questions.herokuapp.com/5/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/5/index.html	(from https://leetcode-questions.herokuapp.com/)
21:10:02	22631/22631	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:40:01%20GMT	https://leetcode-questions.herokuapp.com/7/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/7/index.html	(from https://leetcode-questions.herokuapp.com/)
21:10:02	35304/35304	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:40:01%20GMT	https://leetcode-questions.herokuapp.com/6/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/6/index.html	(from https://leetcode-questions.herokuapp.com/)
21:10:03	22651/22651	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:40:02%20GMT	https://leetcode-questions.herokuapp.com/8/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/8/index.html	(from https://leetcode-questions.herokuapp.com/)
21:10:03	27509/27509	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:40:02%20GMT	https://leetcode-questions.herokuapp.com/9/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/9/index.html	(from https://leetcode-questions.herokuapp.com/)
21:10:04	22673/22673	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:40:03%20GMT	https://leetcode-questions.herokuapp.com/11/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/11/index.html	(from https://leetcode-questions.herokuapp.com/)
21:10:04	22663/22663	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:40:03%20GMT	https://leetcode-questions.herokuapp.com/10/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/10/index.html	(from https://leetcode-questions.herokuapp.com/)
21:10:04	30013/30013	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:40:04%20GMT	https://leetcode-questions.herokuapp.com/12/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/12/index.html	(from https://leetcode-questions.herokuapp.com/)
21:10:05	23115/23115	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:40:05%20GMT	https://leetcode-questions.herokuapp.com/14/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/14/index.html	(from https://leetcode-questions.herokuapp.com/)
21:10:06	24221/24221	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:40:06%20GMT	https://leetcode-questions.herokuapp.com/15/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/15/index.html	(from https://leetcode-questions.herokuapp.com/)
21:10:06	195512/195512	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:40:04%20GMT	https://leetcode-questions.herokuapp.com/13/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/13/index.html	(from https://leetcode-questions.herokuapp.com/)
21:10:07	23455/23455	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:40:07%20GMT	https://leetcode-questions.herokuapp.com/17/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/17/index.html	(from https://leetcode-questions.herokuapp.com/)
21:10:08	101691/101691	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:40:06%20GMT	https://leetcode-questions.herokuapp.com/16/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/16/index.html	(from https://leetcode-questions.herokuapp.com/)
21:10:08	22619/22619	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:40:08%20GMT	https://leetcode-questions.herokuapp.com/18/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/18/index.html	(from https://leetcode-questions.herokuapp.com/)
21:10:09	23677/23677	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:40:08%20GMT	https://leetcode-questions.herokuapp.com/19/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/19/index.html	(from https://leetcode-questions.herokuapp.com/)
21:10:09	34087/34087	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:40:08%20GMT	https://leetcode-questions.herokuapp.com/20/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/20/index.html	(from https://leetcode-questions.herokuapp.com/)
21:10:09	25809/25809	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:40:09%20GMT	https://leetcode-questions.herokuapp.com/21/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/21/index.html	(from https://leetcode-questions.herokuapp.com/)
21:10:10	27873/27873	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:40:09%20GMT	https://leetcode-questions.herokuapp.com/22/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/22/index.html	(from https://leetcode-questions.herokuapp.com/)
21:10:10	23659/23659	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:40:10%20GMT	https://leetcode-questions.herokuapp.com/23/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/23/index.html	(from https://leetcode-questions.herokuapp.com/)
21:10:10	4284/4284	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2015:39:46%20GMT	https://leetcode-questions.herokuapp.com/searchquestion/	d:/IITG%20DRIVE/OneDrive%20-%20Indian%20Institute%20of%20Technology%20Guwahati/Project/leetcode/leetcode-questions.herokuapp.com/searchquestion/index.html	(from https://leetcode-questions.herokuapp.com/)
